,source,interaction,target
1,CALM3,-1,TRPC1
2,CAV1,1,TRPC1
3,DRD2,1,TRPC1
4,FKBP4,-1,TRPC1
5,MDFI,-1,TRPC1
6,ITPR2,1,TRPC1
7,MARCKS,-1,TRPC1
8,GRM1,1,TRPC1
9,STIM1,1,TRPC1
10,TRPC1,1,TRPC3
11,TRPC3,1,TRPC1
12,TRPC1,1,TRPC4
13,TRPC4,1,TRPC1
14,TRPC1,1,TRPC5
15,TRPC5,1,TRPC1
16,TRPC1,-1,TRPC6
17,TRPC1,1,PKD2
18,PKD2,1,TRPC1
19,TRPC1,1,TRPV4
20,TRPV4,1,TRPC1
21,TRPC1,-1,TRPV6
22,CALM3,-1,TRPC3
23,CASR,1,TRPC3
24,EPOR,1,TRPC3
25,HOMER1,1,TRPC3
26,ITPR1,1,TRPC3
27,ITPR3,1,TRPC3
28,ASPH,1,TRPC3
29,ORAI1,1,TRPC3
30,PRKG1,-1,TRPC3
31,RNF24,-1,TRPC3
32,SRC,1,TRPC3
33,TRPM4,-1,TRPC3
34,PKD2,1,TRPC3
35,WNK4,-1,TRPC3
36,SLC9A3R1,1,TRPC4
37,EPB41,1,TRPC4
38,RNF24,-1,TRPC4
39,CABP1,-1,TRPC5
40,NCS1,1,TRPC5
41,SESTD1,1,TRPC5
42,TRPC5,-1,TRPC6
43,CALM3,1,TRPC6
44,FYN,1,TRPC6
45,CHRM1,1,TRPC6
46,MX1,1,TRPC6
47,NPHS1,1,TRPC6
48,PRKG1,-1,TRPC6
49,NPHS2,1,TRPC6
50,RNF24,-1,TRPC6
51,SNF8,1,TRPC6
52,PKD2,1,TRPC7
53,AKAP5,1,TRPV1
54,CALM3,1,TRPV1
55,CNR1,-1,TRPV1
56,CDK5,1,TRPV1
57,FAF1,-1,TRPV1
58,GABARAP,1,TRPV1
59,KIF13B,1,TRPV1
60,PIRT,1,TRPV1
61,PRKACA,1,TRPV1
62,SRC,1,TRPV1
63,NTRK1,1,TRPV1
64,SLC50A1,1,TRPV2
65,EGFR,1,TRPV3
66,AKAP5,1,TRPV4
67,CALM3,1,TRPV4
68,FYN,1,TRPV4
69,HCK,1,TRPV4
70,ITPR3,1,TRPV4
71,ITCH,-1,TRPV4
72,LCK,1,TRPV4
73,LYN,1,TRPV4
74,MAP7,1,TRPV4
75,OS9,-1,TRPV4
76,PACSIN3,1,TRPV4
77,SRC,1,TRPV4
78,PKD2,1,TRPV4
79,YES1,1,TRPV4
80,BSPRY,-1,TRPV5
81,CALB1,1,TRPV5
82,CALM3,-1,TRPV5
83,PPIB,1,TRPV5
84,FKBP4,-1,TRPV5
85,KL,1,TRPV5
86,RAB11A,1,TRPV5
87,S100A10,1,TRPV5
88,TGM2,-1,TRPV5
89,MCOLN3,1,TRPV5
90,TRPV5,1,MCOLN3
91,TRPV6,1,TRPV5
92,TRPV5,1,TRPV6
93,CALM3,-1,TRPV6
94,PPIB,1,TRPV6
95,FYN,1,TRPV6
96,KL,1,TRPV6
97,PDZD3,1,TRPV6
98,NIPSNAP1,-1,TRPV6
99,NUMB,-1,TRPV6
100,PTPN1,-1,TRPV6
101,RAB11A,1,TRPV6
102,RGS2,-1,TRPV6
103,S100A10,1,TRPV6
104,SRC,1,TRPV6
105,NYX,1,TRPM1
106,CALM3,1,TRPM2
107,EFHC1,1,TRPM2
108,PTPN13,-1,TRPM2
109,CALM3,1,TRPM4
110,RACK1,-1,TRPM6
111,PHB2,-1,TRPM6
112,TRPM6,1,TRPM7
113,TRPM7,1,ANXA1
114,RACK1,-1,TRPM7
115,HTR1B,1,TRPM8
116,OPRM1,-1,TRPM8
117,PRKACA,-1,MCOLN1
118,MCOLN2,1,MCOLN1
119,MCOLN1,1,MCOLN2
120,MCOLN1,1,MCOLN3
121,MCOLN2,1,MCOLN3
122,PRKCSH,-1,PKD2
123,KIF3A,1,PKD2
124,PKD1,1,PKD2
125,STX5,-1,PKD2
126,PKD1,1,PKD2L1
127,PKD1L3,1,PKD2L1
128,TNNI1,-1,PKD2L1
