gs_name,gene_symbol,gs_exact_source
KEGG_ABC_TRANSPORTERS,Abca1,hsa02010
KEGG_ABC_TRANSPORTERS,Abca12,hsa02010
KEGG_ABC_TRANSPORTERS,Abca13,hsa02010
KEGG_ABC_TRANSPORTERS,Abca2,hsa02010
KEGG_ABC_TRANSPORTERS,Abca3,hsa02010
KEGG_ABC_TRANSPORTERS,Abca4,hsa02010
KEGG_ABC_TRANSPORTERS,Abca5,hsa02010
KEGG_ABC_TRANSPORTERS,Abca6,hsa02010
KEGG_ABC_TRANSPORTERS,Abca7,hsa02010
KEGG_ABC_TRANSPORTERS,Abca8b,hsa02010
KEGG_ABC_TRANSPORTERS,Abca9,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb1a,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb10,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb11,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb4,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb5,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb6,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb7,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb8,hsa02010
KEGG_ABC_TRANSPORTERS,Abcb9,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc1,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc10,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc12,hsa02010
KEGG_ABC_TRANSPORTERS,Gm10768,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc3,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc4,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc5,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc6,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc8,hsa02010
KEGG_ABC_TRANSPORTERS,Abcc9,hsa02010
KEGG_ABC_TRANSPORTERS,Abcd1,hsa02010
KEGG_ABC_TRANSPORTERS,Abcd2,hsa02010
KEGG_ABC_TRANSPORTERS,Abcd3,hsa02010
