Gene	Score (Experiment_1)	adj p-val (Experiment_1)	Overlap (Experiment_1)	Percent Overlap (Experiment_1)	Score (Experiment_2)	adj p-val (Experiment_2)	Overlap (Experiment_2)	Percent Overlap (Experiment_2)	Score (Experiment_3)	adj p-val (Experiment_3)	Overlap (Experiment_3)	Percent Overlap (Experiment_3)
AKT1	-0.8519390632540793	1.1289680644358622e-07	['P15056_S365', 'Q13541_S65', 'P20749_S41', 'Q92934_S75', 'O60825_S483', 'Q96F86_S161', 'Q9NWV8_S29', 'O60825_S466', 'P35226_S316', 'Q92934_S118', 'Q9Y2V2_S52', 'Q13541_T37', 'Q92934_S99', 'Q15942_S142', 'P54253_S775', 'P42858_S419', 'P46527_S10', 'Q9BZQ8_S602', 'Q13009_S231', 'P04792_S82']	7.246376811594203	0.05472377538972563	0.488959988467692	['P15056_S365', 'Q13541_S65', 'P20749_S41', 'Q92934_S75', 'O60825_S483', 'Q96F86_S161', 'Q9NWV8_S29', 'O60825_S466', 'P35226_S316', 'Q92934_S118', 'Q9Y2V2_S52', 'Q13541_T37', 'Q92934_S99', 'Q15942_S142', 'P54253_S775', 'P42858_S419', 'P46527_S10', 'Q9BZQ8_S602', 'Q13009_S231', 'P04792_S82']	7.246376811594203	-0.4141080522652336	0.04655952871242633	['P15056_S365', 'Q13541_S65', 'P20749_S41', 'Q92934_S75', 'O60825_S483', 'Q96F86_S161', 'Q9NWV8_S29', 'O60825_S466', 'P35226_S316', 'Q92934_S118', 'Q9Y2V2_S52', 'Q13541_T37', 'Q92934_S99', 'Q15942_S142', 'P54253_S775', 'P42858_S419', 'P46527_S10', 'Q9BZQ8_S602', 'Q13009_S231', 'P04792_S82']	7.246376811594203
AURKB	-0.03231916311451163	0.48324356244592576	['Q96PK6_S618', 'P98179_S147', 'O14950_S20', 'Q9BW61_S33', 'P06400_S780', 'P08238_S255']	3.1746031746031744	0.3182744977726934	0.488959988467692	['Q96PK6_S618', 'P98179_S147', 'O14950_S20', 'Q9BW61_S33', 'P06400_S780', 'P08238_S255']	3.1746031746031744	-0.4532200456661591	0.2136185734006284	['Q96PK6_S618', 'P98179_S147', 'O14950_S20', 'Q9BW61_S33', 'P06400_S780', 'P08238_S255']	3.1746031746031744
CDC7	0.14417842870116784	0.40868601171534397	['P49736_S139', 'P49736_S40', 'P49736_S27', 'P19338_T121', 'P55081_S116', 'P19338_T76', 'P49736_S41']	21.875	-0.47203372880700184	0.488959988467692	['P49736_S139', 'P49736_S40', 'P49736_S27', 'P19338_T121', 'P55081_S116', 'P19338_T76', 'P49736_S41']	21.875	-0.31837885915661435	0.3667924519866847	['P49736_S139', 'P49736_S40', 'P49736_S27', 'P19338_T121', 'P55081_S116', 'P19338_T76', 'P49736_S41']	21.875
CDK1	0.014259321876251091	0.40868601171534397	['Q9Y4H2_S391', 'Q08999_S662', 'P23396_T221', 'Q9UPU5_S2604', 'O95997_S165', 'Q86WB0_S395', 'Q13541_T70', 'Q9H1A4_S547', 'O95835_S613', 'P67870_S209', 'Q9H1E3_S181', 'P06400_T373', 'Q08999_T642', 'P19338_T121', 'Q9Y5T5_S552', 'P49792_S2280', 'Q96C19_S74', 'P50613_S164', 'P20700_S393', 'Q96JH7_S768', 'P0C1Z6_S180', 'O75152_T321', 'Q99638_S277', 'Q9UPU5_S2047', 'P20700_S23', 'Q9H1A4_S688', 'P06400_S249', 'P10412_T18', 'O14745_S280', 'Q01581_S495', 'O00443_S259', 'P24928_S1920', 'Q96R06_S135']	5.699481865284974	-0.06912890473016473	0.4925365081363834	['Q9Y4H2_S391', 'Q08999_S662', 'P23396_T221', 'Q9UPU5_S2604', 'O95997_S165', 'Q86WB0_S395', 'Q13541_T70', 'Q9H1A4_S547', 'O95835_S613', 'P67870_S209', 'Q9H1E3_S181', 'P06400_T373', 'Q08999_T642', 'P19338_T121', 'Q9Y5T5_S552', 'P49792_S2280', 'Q96C19_S74', 'P50613_S164', 'P20700_S393', 'Q96JH7_S768', 'P0C1Z6_S180', 'O75152_T321', 'Q99638_S277', 'Q9UPU5_S2047', 'P20700_S23', 'Q9H1A4_S688', 'P06400_S249', 'P10412_T18', 'O14745_S280', 'Q01581_S495', 'O00443_S259', 'P24928_S1920', 'Q96R06_S135']	5.699481865284974	-0.08128573623943619	0.4573752517812952	['Q9Y4H2_S391', 'Q08999_S662', 'P23396_T221', 'Q9UPU5_S2604', 'O95997_S165', 'Q86WB0_S395', 'Q13541_T70', 'Q9H1A4_S547', 'O95835_S613', 'P67870_S209', 'Q9H1E3_S181', 'P06400_T373', 'Q08999_T642', 'P19338_T121', 'Q9Y5T5_S552', 'P49792_S2280', 'Q96C19_S74', 'P50613_S164', 'P20700_S393', 'Q96JH7_S768', 'P0C1Z6_S180', 'O75152_T321', 'Q99638_S277', 'Q9UPU5_S2047', 'P20700_S23', 'Q9H1A4_S688', 'P06400_S249', 'P10412_T18', 'O14745_S280', 'Q01581_S495', 'O00443_S259', 'P24928_S1920', 'Q96R06_S135']	5.699481865284974
CDK10	0.05497387153033967	0.40868601171534397	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379	0.07681010010391409	0.488959988467692	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379	-0.130025304717662	0.4573752517812952	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379
CDK11B	0.05497387153033967	0.40868601171534397	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.280701754385966	0.07681010010391409	0.488959988467692	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.280701754385966	-0.130025304717662	0.4573752517812952	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.280701754385966
CDK12	0.05497387153033967	0.40868601171534397	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	10.76923076923077	0.07681010010391409	0.488959988467692	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	10.76923076923077	-0.130025304717662	0.4573752517812952	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	10.76923076923077
CDK13	0.05497387153033967	0.40868601171534397	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379	0.07681010010391409	0.488959988467692	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379	-0.130025304717662	0.4573752517812952	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	12.068965517241379
CDK16	0.1378751796139614	0.40868601171534397	['P67870_S209', 'P20700_S393', 'P10644_S83', 'P46527_S10', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	15.0	0.05685091186544227	0.488959988467692	['P67870_S209', 'P20700_S393', 'P10644_S83', 'P46527_S10', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	15.0	-0.19022483982166635	0.4573752517812952	['P67870_S209', 'P20700_S393', 'P10644_S83', 'P46527_S10', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	15.0
CDK17	0.05497387153033967	0.40868601171534397	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	11.666666666666666	0.07681010010391409	0.488959988467692	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	11.666666666666666	-0.130025304717662	0.4573752517812952	['P67870_S209', 'P20700_S393', 'Q08999_S662', 'Q08999_T642', 'P06400_T373', 'P20700_S23', 'P06400_S249']	11.666666666666666
