Gene	Score (Experiment_1)	adj p-val (Experiment_1)	Overlap (Experiment_1)	Percent Overlap (Experiment_1)	Score (Experiment_2)	adj p-val (Experiment_2)	Overlap (Experiment_2)	Percent Overlap (Experiment_2)	Score (Experiment_3)	adj p-val (Experiment_3)	Overlap (Experiment_3)	Percent Overlap (Experiment_3)
Abl1	-0.1565992331936552	0.45821049958499493	['P97318_Y232', 'Q62120_Y1007', 'P36895_Y457', 'Q62120_Y1008', 'Q4VAA2_Y120', 'Q60598_Y466', 'O88809_Y125', 'P24270_Y231', 'P10085_Y30', 'Q8CBW3_Y428', 'Q62245_Y1182', 'P97465_Y361']	31.57894736842105	-0.02675199570337705	0.48538928329892006	['P97318_Y232', 'Q62120_Y1007', 'P36895_Y457', 'Q62120_Y1008', 'Q4VAA2_Y120', 'Q60598_Y466', 'O88809_Y125', 'P24270_Y231', 'P10085_Y30', 'Q8CBW3_Y428', 'Q62245_Y1182', 'P97465_Y361']	31.57894736842105	0.0	0.3609087740728586	['P97318_Y232', 'Q62120_Y1007', 'P36895_Y457', 'Q62120_Y1008', 'Q4VAA2_Y120', 'Q60598_Y466', 'O88809_Y125', 'P24270_Y231', 'P10085_Y30', 'Q8CBW3_Y428', 'Q62245_Y1182', 'P97465_Y361']	31.57894736842105
Akt1	-0.22626094124688523	0.45821049958499493	['O88643_S21', 'Q9Z1T6_S105', 'B2RWS6_S1733', 'P17679_S310', 'O70343_S570', 'O35099_S90', 'O88703_S861', 'Q9Z0X4_S292', 'Q921I6_S245', 'Q60949_T499', 'Q5EG47_S496', 'Q60949_T253', 'Q2NL51_S21', 'Q60949_S660', 'Q80U87_T907', 'P62908_T70', 'Q9Z0X4_S290', 'O08967_S155', 'B2RWS6_S1833', 'Q60949_T590', 'Q02248_S552', 'Q61337_S112', 'P62509_S179', 'P18911_S379', 'Q9CZU6_S225', 'Q60760_S455', 'Q8BYJ6_T649', 'Q01098_S1084', 'Q06806_T794', 'Q9Z2B5_T799', 'P15806_S527', 'Q61337_S136', 'O89017_T324', 'Q9Z0X4_S291', 'O35927_T454', 'O08785_S845', 'Q9R1E0_T24', 'Q8BYJ6_S324', 'Q69ZI1_S304']	41.05263157894737	-0.07495679200416527	0.47125925381349953	['O88643_S21', 'Q9Z1T6_S105', 'B2RWS6_S1733', 'P17679_S310', 'O70343_S570', 'O35099_S90', 'O88703_S861', 'Q9Z0X4_S292', 'Q921I6_S245', 'Q60949_T499', 'Q5EG47_S496', 'Q60949_T253', 'Q2NL51_S21', 'Q60949_S660', 'Q80U87_T907', 'P62908_T70', 'Q9Z0X4_S290', 'O08967_S155', 'B2RWS6_S1833', 'Q60949_T590', 'Q02248_S552', 'Q61337_S112', 'P62509_S179', 'P18911_S379', 'Q9CZU6_S225', 'Q60760_S455', 'Q8BYJ6_T649', 'Q01098_S1084', 'Q06806_T794', 'Q9Z2B5_T799', 'P15806_S527', 'Q61337_S136', 'O89017_T324', 'Q9Z0X4_S291', 'O35927_T454', 'O08785_S845', 'Q9R1E0_T24', 'Q8BYJ6_S324', 'Q69ZI1_S304']	41.05263157894737	0.15384615384615385	0.42545744373549566	['O88643_S21', 'Q9Z1T6_S105', 'B2RWS6_S1733', 'P17679_S310', 'O70343_S570', 'O35099_S90', 'O88703_S861', 'Q9Z0X4_S292', 'Q921I6_S245', 'Q60949_T499', 'Q5EG47_S496', 'Q60949_T253', 'Q2NL51_S21', 'Q60949_S660', 'Q80U87_T907', 'P62908_T70', 'Q9Z0X4_S290', 'O08967_S155', 'B2RWS6_S1833', 'Q60949_T590', 'Q02248_S552', 'Q61337_S112', 'P62509_S179', 'P18911_S379', 'Q9CZU6_S225', 'Q60760_S455', 'Q8BYJ6_T649', 'Q01098_S1084', 'Q06806_T794', 'Q9Z2B5_T799', 'P15806_S527', 'Q61337_S136', 'O89017_T324', 'Q9Z0X4_S291', 'O35927_T454', 'O08785_S845', 'Q9R1E0_T24', 'Q8BYJ6_S324', 'Q69ZI1_S304']	41.05263157894737
Akt2	-0.04987502737855773	0.493483790564855	['Q04887_S181', 'B2RWS6_S1833', 'B2RWS6_S1733', 'P97474_T90', 'O70343_S570', 'Q9Z1S8_S211', 'O35491_T343', 'Q9JHJ0_S71']	53.333333333333336	-0.3169344219448571	0.47125925381349953	['Q04887_S181', 'B2RWS6_S1833', 'B2RWS6_S1733', 'P97474_T90', 'O70343_S570', 'Q9Z1S8_S211', 'O35491_T343', 'Q9JHJ0_S71']	53.333333333333336	0.0	0.3609087740728586	['Q04887_S181', 'B2RWS6_S1833', 'B2RWS6_S1733', 'P97474_T90', 'O70343_S570', 'Q9Z1S8_S211', 'O35491_T343', 'Q9JHJ0_S71']	53.333333333333336
Atm	-0.18375261255985037	0.45821049958499493	['Q62388_S1987', 'Q9WTK7_T366', 'Q62318_S824', 'Q5U5Q9_S402', 'O88935_S656', 'P25206_S732', 'Q9WTK7_S431', 'Q80YR6_T855', 'Q8VBU8_S370']	37.5	-0.4115384182515618	0.3742910254054137	['Q62388_S1987', 'Q9WTK7_T366', 'Q62318_S824', 'Q5U5Q9_S402', 'O88935_S656', 'P25206_S732', 'Q9WTK7_S431', 'Q80YR6_T855', 'Q8VBU8_S370']	37.5	0.0	0.3609087740728586	['Q62388_S1987', 'Q9WTK7_T366', 'Q62318_S824', 'Q5U5Q9_S402', 'O88935_S656', 'P25206_S732', 'Q9WTK7_S431', 'Q80YR6_T855', 'Q8VBU8_S370']	37.5
Aurkb	0.06019240043341972	0.45821049958499493	['P20152_S65', 'P20152_S73', 'P20152_S66', 'P20152_S25', 'P20263_T343', 'Q9CSU0_S145']	33.333333333333336	-0.019324630029430443	0.48538928329892006	['P20152_S65', 'P20152_S73', 'P20152_S66', 'P20152_S25', 'P20263_T343', 'Q9CSU0_S145']	33.333333333333336	0.0	0.3609087740728586	['P20152_S65', 'P20152_S73', 'P20152_S66', 'P20152_S25', 'P20263_T343', 'Q9CSU0_S145']	33.333333333333336
Camk2a	-0.2144201865924794	0.45821049958499493	['P50571_S434', 'O70468_S410', 'Q00560_S780', 'Q01815_S1487', 'Q9WV18_S867', 'Q8VHH7_S1077', 'P50571_S409', 'P09055_T788', 'Q01815_S1545', 'Q9QWW1_S216', 'O70468_S210', 'O70468_T50', 'Q64704_T14', 'E9Q401_S2813', 'P09055_T789', 'P61014_T17', 'P13346_T149', 'P63044_S61', 'O70468_S302', 'O70468_T290', 'P11798_T305', 'P23818_T858']	39.285714285714285	-0.10470267900063686	0.47125925381349953	['P50571_S434', 'O70468_S410', 'Q00560_S780', 'Q01815_S1487', 'Q9WV18_S867', 'Q8VHH7_S1077', 'P50571_S409', 'P09055_T788', 'Q01815_S1545', 'Q9QWW1_S216', 'O70468_S210', 'O70468_T50', 'Q64704_T14', 'E9Q401_S2813', 'P09055_T789', 'P61014_T17', 'P13346_T149', 'P63044_S61', 'O70468_S302', 'O70468_T290', 'P11798_T305', 'P23818_T858']	39.285714285714285	0.0	0.3609087740728586	['P50571_S434', 'O70468_S410', 'Q00560_S780', 'Q01815_S1487', 'Q9WV18_S867', 'Q8VHH7_S1077', 'P50571_S409', 'P09055_T788', 'Q01815_S1545', 'Q9QWW1_S216', 'O70468_S210', 'O70468_T50', 'Q64704_T14', 'E9Q401_S2813', 'P09055_T789', 'P61014_T17', 'P13346_T149', 'P63044_S61', 'O70468_S302', 'O70468_T290', 'P11798_T305', 'P23818_T858']	39.285714285714285
Cdk1	-0.11460819837141877	0.45821049958499493	['Q922U2_T145', 'O70405_S991', 'P25206_S611', 'Q60864_T332', 'P48678_S392', 'P53564_S1232', 'Q3UNW5_T177', 'O70405_T653', 'P31001_S7', 'O35280_S286', 'Q03147_S164', 'O70405_S637', 'P52927_S59', 'P25206_S112', 'Q91XB0_S78', 'O70405_S638', 'P48432_S39', 'P31001_S32', 'P53566_S21', 'Q61337_S128', 'Q9WU62_T59', 'P11416_S461', 'P27699_S284', 'P11881_S421', 'P49717_S87', 'P11881_T799', 'Q3UV55_T275', 'P27699_S156', 'P99024_S172']	37.66233766233766	0.0708293142882366	0.47125925381349953	['Q922U2_T145', 'O70405_S991', 'P25206_S611', 'Q60864_T332', 'P48678_S392', 'P53564_S1232', 'Q3UNW5_T177', 'O70405_T653', 'P31001_S7', 'O35280_S286', 'Q03147_S164', 'O70405_S637', 'P52927_S59', 'P25206_S112', 'Q91XB0_S78', 'O70405_S638', 'P48432_S39', 'P31001_S32', 'P53566_S21', 'Q61337_S128', 'Q9WU62_T59', 'P11416_S461', 'P27699_S284', 'P11881_S421', 'P49717_S87', 'P11881_T799', 'Q3UV55_T275', 'P27699_S156', 'P99024_S172']	37.66233766233766	0.0	0.3609087740728586	['Q922U2_T145', 'O70405_S991', 'P25206_S611', 'Q60864_T332', 'P48678_S392', 'P53564_S1232', 'Q3UNW5_T177', 'O70405_T653', 'P31001_S7', 'O35280_S286', 'Q03147_S164', 'O70405_S637', 'P52927_S59', 'P25206_S112', 'Q91XB0_S78', 'O70405_S638', 'P48432_S39', 'P31001_S32', 'P53566_S21', 'Q61337_S128', 'Q9WU62_T59', 'P11416_S461', 'P27699_S284', 'P11881_S421', 'P49717_S87', 'P11881_T799', 'Q3UV55_T275', 'P27699_S156', 'P99024_S172']	37.66233766233766
Cdk2	0.038335328036395375	0.45821049958499493	['Q61937_T198', 'P28033_T188', 'P48432_S39', 'P48972_T519', 'Q61502_T251', 'O35144_S367', 'P25206_S611', 'Q03147_S164', 'P48972_T267', 'P25976_S484', 'Q9R207_S433', 'Q9WUU9_S502', 'P48972_S283']	33.333333333333336	-0.1856762277816632	0.47125925381349953	['Q61937_T198', 'P28033_T188', 'P48432_S39', 'P48972_T519', 'Q61502_T251', 'O35144_S367', 'P25206_S611', 'Q03147_S164', 'P48972_T267', 'P25976_S484', 'Q9R207_S433', 'Q9WUU9_S502', 'P48972_S283']	33.333333333333336	0.5384615384615384	0.3609087740728586	['Q61937_T198', 'P28033_T188', 'P48432_S39', 'P48972_T519', 'Q61502_T251', 'O35144_S367', 'P25206_S611', 'Q03147_S164', 'P48972_T267', 'P25976_S484', 'Q9R207_S433', 'Q9WUU9_S502', 'P48972_S283']	33.333333333333336
Cdk4	-0.08478456872757645	0.493483790564855	['P28659_S302', 'P25976_S484', 'P13405_S800', 'P48985_S309', 'P13405_T819', 'P81122_S1226']	50.0	-0.26057633093934834	0.47125925381349953	['P28659_S302', 'P25976_S484', 'P13405_S800', 'P48985_S309', 'P13405_T819', 'P81122_S1226']	50.0	0.0	0.3609087740728586	['P28659_S302', 'P25976_S484', 'P13405_S800', 'P48985_S309', 'P13405_T819', 'P81122_S1226']	50.0
Cdk5	0.016645585842930317	0.45821049958499493	['P42227_S727', 'Q9ERR1_S231', 'Q69Z98_T464', 'Q69Z98_S440', 'O88809_S332', 'P46414_T187', 'O35927_S300', 'Q9JK48_T145', 'P15209_S478', 'Q04735_S95', 'P97318_T385', 'O89053_T418', 'P37238_T296', 'Q8R527_T189', 'P23242_S279', 'P97318_S246', 'Q6P5H2_T1554', 'P10417_S70', 'P31938_T286', 'P42859_S1159', 'Q01815_S783', 'A2CG49_T1572', 'P26040_T235', 'Q80Y83_S250', 'Q9QYB1_S108', 'P97318_T470', 'Q69Z98_S456']	24.107142857142858	-0.04870769229856683	0.48538928329892006	['P42227_S727', 'Q9ERR1_S231', 'Q69Z98_T464', 'Q69Z98_S440', 'O88809_S332', 'P46414_T187', 'O35927_S300', 'Q9JK48_T145', 'P15209_S478', 'Q04735_S95', 'P97318_T385', 'O89053_T418', 'P37238_T296', 'Q8R527_T189', 'P23242_S279', 'P97318_S246', 'Q6P5H2_T1554', 'P10417_S70', 'P31938_T286', 'P42859_S1159', 'Q01815_S783', 'A2CG49_T1572', 'P26040_T235', 'Q80Y83_S250', 'Q9QYB1_S108', 'P97318_T470', 'Q69Z98_S456']	24.107142857142858	0.0	0.3609087740728586	['P42227_S727', 'Q9ERR1_S231', 'Q69Z98_T464', 'Q69Z98_S440', 'O88809_S332', 'P46414_T187', 'O35927_S300', 'Q9JK48_T145', 'P15209_S478', 'Q04735_S95', 'P97318_T385', 'O89053_T418', 'P37238_T296', 'Q8R527_T189', 'P23242_S279', 'P97318_S246', 'Q6P5H2_T1554', 'P10417_S70', 'P31938_T286', 'P42859_S1159', 'Q01815_S783', 'A2CG49_T1572', 'P26040_T235', 'Q80Y83_S250', 'Q9QYB1_S108', 'P97318_T470', 'Q69Z98_S456']	24.107142857142858
