Kinase	up (Experiment01)	up (Experiment02)	down (Experiment01)	down (Experiment02)
ACVR2A	0.18310888048313134	0.1379631944169882	-0.14737446810367025	-0.18016633948361738
ACVR2B	0.18270268301069137	0.12413646965396191	-0.15216831179411586	-0.19703433189322794
AKT1	0.17566958248315973	0.39538045195072535	-0.7442290424025513	-0.3752636791658153
AKT2	0.17559981783045564	0.3656457137741422	-0.6426224099016347	-0.40037984075212035
AKT3	-0.0	0.41403107453751326	-1.1238717843269959	-0.6301147472845868
ATM	0.4994284708922482	0.04947573878745388	-0.011030661340057932	-0.06883810270105034
ATR	-0.0	-0.0	-0.011049761626375477	-0.014572122973549205
AURKA	-0.0	0.3858095651674829	-0.05580173269229667	0.0
BCKDK	0.18614433663282381	0.13013385835900598	-0.28647325481641367	-0.26770046680175524
CAMK1	0.18306593164930535	0.1314177232583481	-0.2700020264711041	-0.2655506077101017
CAMK1D	0.18663472660457037	0.13642109616541315	-0.14634555387676065	-0.18336361255473874
CAMK1G	0.18310888048313134	0.1328362263059373	-0.16206672035733247	-0.26324873356628264
CAMK2A	0.1774601476373083	0.14810959157096817	-0.5327622192229828	-0.35935494901212267
CAMK2B	0.180893787794353	0.14810959157096817	-0.16000143789420657	-0.1832898438338549
CAMK2D	0.191106902968913	0.24882209164919153	-0.32562527261933166	-0.36488119846156725
CAMK2G	0.16518169240846658	0.13677468060363418	-0.27543315084744907	-0.1910221854137622
CAMK4	-0.0	0.13122936697041448	-0.3146819126900141	-0.26780677390275537
CDC42BPA	0.16524737077363616	0.12886710215985908	-0.16369892285416615	-0.1709152624396822
CDC42BPB	0.17407234765633858	0.13112588968326055	-0.15542781801416536	-0.18997323282398412
CDC42BPG	0.18298730149900944	0.14785095143863186	-0.32746189021540123	-0.20489132498373416
CDK1	0.18260297632330866	0.13948790317895937	-0.2806343831847904	-0.19105083309535018
CDK2	0.3298789329943523	0.13013385835900598	-0.27647702287432036	-0.3439073517600227
CDK3	0.18635717481463723	0.40424055415279697	-0.5267319084996815	-0.4827246427917305
CDK4	0.5256916215042159	-0.0	-0.8099251655361241	-1.6459417737691484
CDK5	0.18277083240068856	0.38913578441971775	-0.7746790460078022	-0.605293490813525
CDK6	-0.0	0.1422925231608267	-0.49289223057249726	-0.3407194252223041
