Kinase	up (Experiment01)	up (Experiment02)	down (Experiment01)	down (Experiment02)
ACVR2A	0.23893904503713173	0.08994408138858655	-0.12513182932023953	-0.14487364136472455
ACVR2B	0.23422923522691871	0.089797295247977	-0.25388539318855774	-0.2604452315121981
AKT1	0.23428082069386666	0.23402001430988384	-0.6701977866807375	-0.48160337120233243
AKT2	-0.0	0.23657486258334315	-0.6653180518629789	-0.47380332166368555
AKT3	-0.0	0.25307718296681625	-1.005731727183141	-0.7269230202362377
ATM	0.636374541887225	0.089797295247977	-0.00842020647576699	-0.04632305742963105
ATR	-0.0	-0.0	-0.008435236449128098	-0.009119694171629967
AURKA	-0.0	-0.0	-0.046044749164427384	-0.04673114597006759
BCKDK	-0.0	0.2098460511023943	-0.2673796835552166	-0.2603834121030615
CAMK1	0.2417768496666307	0.2266213131411295	-0.255040247590838	-0.26492416921660494
CAMK1D	0.241720708366896	0.22426568331466243	-0.12918237418303985	-0.13422951108108955
CAMK1G	0.24459250899669957	0.21230402409238341	-0.2438073212018161	-0.2523426418155343
CAMK2A	-0.0	0.22898230331530517	-0.4763207342030751	-0.45758985464145463
CAMK2B	0.23173919947692162	0.23661757750658005	-0.2547676844262828	-0.13634859673138444
CAMK2D	0.2502182833756495	0.23402001430988384	-0.42754686423240995	-0.423944008801156
CAMK2G	-0.0	0.23952171208498468	-0.2490621445147995	-0.19510347754721954
CAMK4	-0.0	0.2265618589796744	-0.2741485766008202	-0.2578739196565517
CDC42BPA	0.22650883830489477	0.2098693520007598	-0.23529102624231535	-0.13485549015568724
CDC42BPB	-0.0	0.203426969115935	-0.13208509792792547	-0.19136803879378894
CDC42BPG	0.24172530857903593	0.24206265431729246	-0.3337887305389108	-0.2770516921274426
CDK1	0.2527548464892696	0.20790093384643804	-0.24230614424939892	-0.2537717735767332
CDK2	0.27438126283355013	0.21230402409238341	-0.25422284045530663	-0.286612266818454
CDK3	0.25015300014590586	0.24704146439228716	-0.47708137505913467	-0.45193849281030174
CDK4	0.6973948449582811	-0.0	-0.7464279781256641	-1.3654854512236723
CDK5	0.24217458169482306	0.247486078221489	-0.7082985945562221	-0.5026548703721968
CDK6	-0.0	0.24453992110359216	-0.4555912289371398	-0.2734985469388577
CDK7	0.2502182833756495	-0.0	-0.04032787043175433	-0.051621194258791823
CHUK	-0.0	-0.0	-0.18347450550747874	-0.1333545998942209
CLK1	0.2471573303102207	0.2170420853515099	-0.4579021023205644	-0.6889985010983142
CLK2	0.23173919947692162	0.2314453681907662	-0.4533818437488227	-0.359305400324222
CLK3	-0.0	0.22898230331530517	-0.2732827570405806	-0.2726570931914742
CLK4	-0.0	0.21893319086266946	-0.44808183803472296	-0.44585685544810516
CSNK1A1	0.25604218455031014	-0.0	-0.04688717942149172	-0.12807768497651215
CSNK1A1L	0.2367971840893644	0.22409525247990708	-0.12332657108249298	-0.12888782492105297
CSNK1D	-0.0	-0.0	-0.008110448653925281	-0.008698497617412808
CSNK1E	0.24709801717251004	0.089797295247977	-0.0830519576366385	-0.12335715128788162
CSNK1G1	0.2501734803473497	0.20361766296207115	-0.11758187010212577	-0.13464587582536522
CSNK1G2	-0.0	0.09159535794776304	-0.13263955516990567	-0.13059611458671203
CSNK1G3	0.24748334406681868	0.22164761350538417	-0.12221111832668939	-0.12713104849010784
CSNK2A1	0.24754270985694132	-0.0	-0.008702488005985644	-0.04222704628276617
CSNK2A2	0.2650415843513096	0.21233435003168777	-0.044375510974933675	-0.12335715128788162
DAPK1	-0.0	-0.0	-0.04362104877522542	-0.04134284196998108
DAPK2	-0.0	-0.0	-0.02245491160887968	-0.02466537940604412
DAPK3	-0.0	-0.0	-0.009538565056975323	-0.045649938314525816
DMPK	0.25004038593088396	0.23441649286472163	-0.2542956394823341	-0.2747789141810235
EIF2AK2	1.2818558206614812	0.24198822823553726	-0.0475433793784442	-0.26806739107275057
GRK1	0.22885489884716748	0.08994408138858655	-0.10477685644590785	-0.05313574235864176
GRK2	-0.0	0.24485753909998453	-0.045148012337753694	-0.009099188222328428
GRK3	0.2396355897178639	-0.0	-0.1211290445965556	-0.12680759340572512
GRK4	0.24204876885251653	-0.0	-0.08067955194237858	-0.1242917069012118
GRK5	0.2389399592400827	-0.0	-0.04833815215066218	-0.12644678344063376
GRK6	0.23674438928448777	0.20998854305815493	-0.12564843344866722	-0.12589299112479727
GRK7	0.23674438928448777	0.21912344554152466	-0.10889309154111108	-0.11823544247418141
GSK3A	-0.0	0.23135792438842928	-0.1265899169778891	-0.11937329321134767
GSK3B	0.23685178265849308	0.2343749000869258	-0.12013661861003734	-0.12713104849010784
HIPK1	0.24452343969551185	0.23402091978811515	-0.2352501787481452	-0.25044140937781456
HIPK2	0.2471573303102207	0.21921320135757685	-0.12253804178499168	-0.12898095894071232
ICK	0.23167168116422987	0.23131193050466228	-0.4518035003509318	-0.47102157419032037
IKBKB	-0.0	-0.0	-0.008622518230643668	-0.025581839265828604
MAK	0.23668980421410582	0.21235778481981474	-0.4130663133955689	-0.2727316391618814
MAP2K1	-0.0	0.22633523349225992	-0.238844320037326	-0.14221754522190463
MAP2K2	-0.0	0.089797295247977	-0.13084324765946312	-0.13026459549378067
MAP2K3	0.23156645978600232	-0.0	-0.12429302262939868	-0.12141463941741526
MAP2K4	0.22885489884716748	0.2145037238862725	-0.12693537782153855	-0.13079813947642366
MAP2K5	0.23937450465734766	0.203426969115935	-0.12214875509873085	-0.13506075317961022
MAP2K6	-0.0	0.20998854305815493	-0.12056494149105684	-0.08602857551325822
MAP2K7	-0.0	-0.0	-0.11893708963861792	-0.1274711865278213
MAP4K4	-0.0	-0.0	-0.04065913597545795	-0.0441988784888395
MAPK1	0.25290485674715873	0.2503199282846823	-2.134824840295097	-1.8147857061455304
MAPK10	0.22641866445670522	0.22648354954472963	-0.46232801756798547	-0.462312564255809
MAPK11	0.23389462143120246	0.22638888146811495	-0.7135995218953146	-0.6965744826182416
MAPK12	0.22398576967270314	0.24200935557122852	-0.8421320042646014	-0.7347716934548755
MAPK13	0.25913233599746627	0.2646473350522137	-0.9950927647880863	-0.9773866515167837
MAPK14	-0.0	-0.0	-0.736354927217788	-0.7412327731041559
MAPK3	0.25912948880144643	0.24732656317076465	-1.2762913288982434	-1.3154995810922698
MAPK7	-0.0	-0.0	-2.1237656513806273	-2.2250179713465323
MAPK8	0.25271083803258376	0.24441434527426678	-0.7055684200195844	-0.6945443659722618
MAPK9	0.2533711820756909	0.2318329232257196	-0.6904577369335506	-0.6960104929821439
MINK1	-0.0	-0.0	-0.04362104877522542	-0.04424258063506879
MOK	0.23883204831770294	0.23164099039210567	-0.5493190781499258	-0.4793810345569415
NEK1	0.25019675015741755	-0.0	-0.13268148939155147	-0.13634859673138444
NEK11	0.2474981819856528	0.21915953510999295	-0.2664963947356891	-0.2592840495513216
NEK2	0.23394616716569777	0.2145037238862725	-0.11509311492995603	-0.12644678344063376
NEK3	0.2559425194342745	0.21693369962364023	-0.28691124736482143	-0.25030232955116816
NEK4	0.22641866445670522	0.23135792438842928	-0.2565404617531341	-0.26916616400190935
NLK	0.23150105018277387	0.23950973993491162	-0.4750598141031703	-0.3670659436608656
NRK	-0.0	-0.0	-0.0468618461295997	-0.04866833309376857
PAK1	-0.0	0.23402091978811515	-0.7281330770604673	-0.660361259409793
PAK2	0.25599719588737363	0.21893319086266946	-0.4769021436230747	-0.6936540692233019
PAK3	-0.0	0.23427699998590398	-1.046216952356812	-0.7789860163788924
PAK4	0.23685178265849308	0.23127043501663586	-0.746592823004715	-0.7224565562626929
PAK5	-0.0	0.22170019214469677	-0.6895896991717484	-0.5950947683346675
PAK6	-0.0	0.21709457472042504	-0.8455974726371328	-0.7063602882467725
PDK1	-0.0	-0.0	-0.05101122835734167	-0.12797493848869596
PIM1	-0.0	0.21670851216273407	-0.4779510619455346	-0.4921515127675479
PIM2	0.2396355897178639	0.22652903488501758	-1.3284641993122928	-1.3445060988421986
PIM3	0.22398576967270314	0.22145078063163953	-0.7508631948043806	-0.6995457112937464
PNCK	0.25290485674715873	0.22624399378356747	-0.24352562116529838	-0.244347085333361
PRKAA1	-0.0	0.24485753909998453	-0.4514439758620241	-0.26589300532478477
PRKAA2	0.24754270985694132	-0.0	-0.13083881744476605	-0.14269716247161454
PRKACA	-0.0	0.22906933290510723	-1.5645029034334303	-1.3220648517964138
PRKACB	-0.0	0.23158510435677207	-0.6950939519234941	-0.4660328533974424
PRKACG	-0.0	0.22647539285126786	-0.6623315786046327	-0.4785263290938848
PRKCA	-0.0	0.205493131854319	-0.12253804178499168	-0.12797035217091976
PRKCB	-0.0	0.21915953510999295	-0.11448364793638595	-0.04884796746002194
PRKCD	0.24128840580796845	0.089797295247977	-0.12428725643199544	-0.1294667896487494
PRKCE	-0.0	0.20784155108338906	-0.04359887623614862	-0.010655091466009261
PRKCG	-0.0	0.21431548184191906	-0.14012236514202572	-0.13346663039422246
PRKCH	-0.0	-0.0	-0.13083881744476605	-0.1283248703083863
PRKCI	0.21896308943398765	0.089797295247977	-0.046879703028667175	-0.04885901339995415
PRKCQ	-0.0	-0.0	-0.13474440577697624	-0.13227324186739103
PRKCZ	-0.0	-0.0	-0.12344625522110439	-0.13147038726782823
PRKD1	0.23918893415374354	0.6602360012102625	-0.45305590212954605	-0.2643050499273155
PRKD2	0.2474981819856528	0.2266213131411295	-0.24086745984307223	-0.19609772988983618
PRKD3	0.2290916011177018	0.20566165782335896	-0.12586096920512466	-0.1314835416817995
PRKDC	-0.0	-0.0	0.0	0.0
PRKG1	0.2393735895392087	-0.0	-0.13051416843437919	-0.13375454674897913
PRKG2	-0.0	0.3982307995064734	-0.2669713566300213	-0.1255009445092797
ROCK1	0.24173722694615085	0.636677915034552	-0.2565404617531341	-0.12861086048049344
ROCK2	0.26839121953936895	0.614509509757959	-0.2680023688090862	-0.25044140937781456
RPS6KA1	0.26203697352025623	0.21233435003168777	-0.5615069749195803	-0.6722571937215113
RPS6KA3	0.2367962743859056	0.23147332473228335	-0.42977232652434816	-0.27329310793212236
RPS6KB1	0.7119485943415386	0.2147216888943245	-0.8277479820073561	-1.04907086758964
RPS6KB2	0.7180528113199052	0.24198822823553726	-1.0019223484699875	-1.367217604083462
SGK1	0.09489916555103266	-0.0	-0.47284050645010295	-0.487770619772279
SGK2	0.2529282733714702	0.2315860055073257	-0.5779369524730401	-0.4693010878293717
SGK3	0.23422923522691871	0.21449764517936784	-0.42844749796823506	-0.4378448907053112
SLK	-0.0	-0.0	-0.04239413101338894	-0.024671260388043525
STK10	-0.0	-0.0	-0.04305014597940438	-0.04301988727150949
STK11	-0.0	0.23158510435677207	-0.12318066586889091	-0.04621773319526537
STK24	-0.0	-0.0	-0.043490906977201885	-0.04673013475518862
STK25	-0.0	-0.0	-0.042266609512282775	-0.045649938314525816
STK26	-0.0	-0.0	-0.040143701589696934	-0.04466541129752915
