Kinase	down (Experiment01)	up (Experiment01)	not (Experiment01)	-Log10 p_value (Experiment01)	Log2 Enrichment (Experiment01)	-Log10 p_value adjusted (Experiment01)	down (Experiment02)	up (Experiment02)	not (Experiment02)	-Log10 p_value (Experiment02)	Log2 Enrichment (Experiment02)	-Log10 p_value adjusted (Experiment02)
CSNK1D	10.833333333333332	1.8333333333333333	0.0	0.627736513517366	-0.9121131069048728	0.13612676019198147	2.4166666666666665	9.583333333333332	0.0	0.8588226436406388	1.401627348284755	0.4071736183413325
CSNK1A1L	10.416666666666666	1.5	0.0	0.627736513517366	-1.1560009913176414	0.13612676019198147	3.0833333333333335	9.166666666666666	0.0	0.581071946274705	0.9546261269018249	0.27158532354748655
CSNK1G3	6.833333333333332	2.0	0.0	0.22381002072914855	-0.043971252444240834	0.13612676019198147	1.5	6.666666666666666	0.0	0.7424626251233296	1.5332189256271578	0.3672474309048159
SLK	1.3333333333333333	0.5	0.0	0.11175913404697548	0.32192809488736246	0.10828554416635097	1.0	0.5	0.0	0.41642341436605074	-1.7273154241324868	0.22159646155310306
NEK8	0.3333333333333333	0.0	0.0	0.3697458080334412	1.276445325093354	0.13612676019198147						
MAP3K9	2.6666666666666665	0.5	0.0	0.2245997490320073	-0.699210672170788	0.13612676019198147	0.0	1.5	0.0	0.17535527799928494	0.6573484261028382	0.1594417202030498
EIF2AK4	1.6666666666666665	0.0	0.0	0.24582534734744602	0.2557611709216161	0.13612676019198147	0.3333333333333333	1.0	0.0	0.2041199826559248	0.8885787173315771	0.1594417202030498
PRKCZ	1.3333333333333333	0.5	0.0	0.11175913404697548	0.32192809488736246	0.10828554416635097	0.0	1.5	0.0	0.17535527799928494	0.6573484261028382	0.1594417202030498
EIF2AK2	4.833333333333333	0.0	0.0	0.25876539377097135	-0.9238689307840292	0.13612676019198147	0.5	4.0	0.0	0.829847736818042	2.358047520694014	0.4071736183413325
MAP3K11	2.333333333333333	0.0	0.0	0.1707369968424995	-0.07662128160291233	0.13612676019198147	1.0	1.0	0.0	0.20917417331998284	-0.717600269299275	0.1594417202030498
NEK2	0.3333333333333333	0.5	0.0	-0.0	0.0	-0.0	0.0	0.5	0.0	0.20323248281633918	-0.0988533869262855	0.1594417202030498
PINK1	3.666666666666667	2.5	0.0	0.49802695969926747	1.2561603247363418	0.13612676019198147	1.4999999999999998	4.333333333333333	0.0	0.4298032190454091	0.8632901938231345	0.22159646155310306
MYO3B	1.3333333333333333	1.0	0.0	0.38328772080024354	1.3484003062485534	0.13612676019198147	1.0	1.0	0.0	0.20917417331998284	-0.717600269299275	0.1594417202030498
PRKCI	0.6666666666666666	0.0	0.0	0.3697458080334412	0.9493739269300321	0.13612676019198147	0.3333333333333333	0.0	0.0	0.21019894300193426	-1.1186444964986189	0.1594417202030498
PRKCH	3.6666666666666665	0.0	0.0	0.18700198010856753	-0.5831868758313046	0.13612676019198147	0.3333333333333333	2.0	0.0	0.41043522431747925	1.9082075240805094	0.22159646155310306
STK17A	8.5	2.833333333333333	0.0	0.22525723882818707	0.16247469695710504	0.13612676019198147	2.75	7.249999999999999	0.0	0.5755440890904177	0.7510285627731277	0.26849049503419836
STK32C	11.249999999999996	2.0	0.0	0.42775424207557444	-0.8391459889726838	0.13612676019198147	2.4999999999999996	10.916666666666666	0.0	1.012819205986595	1.5675986145369902	0.5136104213040942
AURKA	6.333333333333333	0.0	0.0	0.420165111370299	-1.2784936244725669	0.13612676019198147	0.0	7.0	0.0	1.1157313153650787	2.4460643948994685	0.5601460641116087
CLK2	4.583333333333333	1.6666666666666667	0.0	0.16600406122630074	0.28799657410036494	0.13612676019198147	0.25	5.666666666666667	0.0	1.0545271950093151	3.9027229613932897	0.5438385926433842
STK32B	9.249999999999998	2.0	0.0	0.2982703856356023	-0.5218757984249067	0.13612676019198147	1.5000000000000002	7.583333333333333	0.0	0.9119426340308738	1.7385696780139597	0.4239180163008867
DAPK1	3.3333333333333335	0.0	0.0	0.18700198010856753	-0.47095787201832506	0.13612676019198147	0.0	4.999999999999999	0.0	0.6063438244994758	1.9898042328941112	0.28196564637091226
RPS6KA6	19.416666666666668	1.0	0.0	1.609540213759907	-2.832804019169283	0.14075244414621035	2.25	18.333333333333336	0.0	2.4753820845360837	2.6532548877769746	1.3492187237142663
PIM3	18.333333333333332	1.5	0.0	1.4323562962129988	-2.1169627453090984	0.13612676019198147	3.25	14.75	0.0	1.2776161459593387	1.6871665098766855	0.6512728332994
RAF1	0.8333333333333333	1.0	0.0	0.6320232147054056	2.0343200731838764	0.13612676019198147	0.25	2.25	0.0	0.414874388847224	2.500749496818071	0.22159646155310306
DAPK3	4.333333333333333	0.0	0.0	0.25876539377097135	-0.7865186325709478	0.13612676019198147	0.0	4.999999999999999	0.0	0.6063438244994758	1.9898042328941112	0.28196564637091226
RPS6KB2	14.166666666666666	1.5	0.0	1.0087153406960423	-1.6666525166403494	0.13612676019198147	0.3333333333333333	17.5	0.0	3.851480534031458	5.381825048961118	2.1366719490096027
MYLK4	1.3333333333333333	0.5	0.0	0.11175913404697548	0.32192809488736246	0.10828554416635097	0.0	1.5	0.0	0.17535527799928494	0.6573484261028382	0.1594417202030498
