Gene	Activity (Experiment_1)	StdErr (Experiment_1)	ZScore (Experiment_1)	FDR (Experiment_1)	Activity (Experiment_2)	StdErr (Experiment_2)	ZScore (Experiment_2)	FDR (Experiment_2)	Activity (Experiment_3)	StdErr (Experiment_3)	ZScore (Experiment_3)	FDR (Experiment_3)
Abl1	-0.0564546577469962	0.131893600531861	-0.428031818976376	0.992055659880885	-0.011127115219344	0.131893600531861	-0.0843643298421902	0.999578625068804	-0.0743435002511778	0.131893600531861	-0.563662679245903	0.918482540062188
Abl2	0.119196509167694	0.516707292770237	0.230684781955838	0.992055659880885	0.0312809301898906	0.516707292770237	0.060538975601028	0.999578625068804	-0.129930479078354	0.516707292770237	-0.251458574121829	0.918482540062188
Acp1	-0.0469212788855187	0.180284313640128	-0.260262681417642	0.992055659880885	-0.180831090510165	0.180284313640128	-1.00303285881615	0.999578625068804	0.0380311722625288	0.180284313640128	0.210951088836516	0.918482540062188
Adrbk1	0.117550405576659	0.202168045558856	0.581448988398303	0.992055659880885	-0.174901438828958	0.202168045558856	-0.865128998727151	0.999578625068804	-0.0950815970437612	0.202168045558856	-0.470309720712419	0.918482540062188
Akt1	-0.138853573540017	0.0834728106403726	-1.66345870559268	0.992055659880885	-0.0201401341968498	0.0834728106403726	-0.241277777067073	0.999578625068804	-0.0239686766410804	0.0834728106403726	-0.287143519634736	0.918482540062188
Akt2	0.0194997647411566	0.160358192843213	0.12160130016071	0.992055659880885	-0.227888380933257	0.160358192843213	-1.4211209099623	0.999578625068804	-0.0572083583516157	0.160358192843213	-0.356753573592276	0.918482540062188
Atm	-0.17297487100435	0.26476665173953	-0.653310641154754	0.992055659880885	-0.498724243182329	0.26476665173953	-1.88363693050347	0.999578625068804	-0.129473052163534	0.26476665173953	-0.489008156098546	0.918482540062188
Atr	-0.0185600414690966	0.437497879877727	-0.0424231575117204	0.992055659880885	-0.410732986940305	0.437497879877727	-0.938822805393019	0.999578625068804	-0.155694072989355	0.437497879877727	-0.355873891395472	0.918482540062188
Aurka	0.13135796992088	0.297140525636526	0.442073559772734	0.992055659880885	0.0156632922477273	0.297140525636526	0.0527134163681439	0.999578625068804	-0.0886668280584887	0.297140525636526	-0.298400320415901	0.918482540062188
Aurkb	0.0996577985874911	0.186950395568199	0.533070808888105	0.992055659880885	0.0215144166765356	0.186950395568199	0.115080883413735	0.999578625068804	-0.0772412906834293	0.186950395568199	-0.413164628235578	0.918482540062188
Btk	-0.461225175326553	0.238991795410571	-1.92987869953527	0.942851200615368	0.0518676329010594	0.238991795410571	0.217026834799724	0.999578625068804	-0.087002211765584	0.238991795410571	-0.364038487664902	0.918482540062188
Camk1	0.153843143618952	0.367613557956527	0.41849148457453	0.992055659880885	0.0276378442192276	0.367613557956527	0.0751817870180293	0.999578625068804	-0.0912438679947088	0.367613557956527	-0.248205938056015	0.918482540062188
Camk1d	0.0557801189963981	0.340644865406886	0.163748597618728	0.992055659880885	0.0271999560677266	0.340644865406886	0.0798484252367561	0.999578625068804	-0.0727562227393085	0.340644865406886	-0.213583793938606	0.918482540062188
Camk2a	-0.0470991178880859	0.0912478229102098	-0.516167031562305	0.992055659880885	-0.0233099723959448	0.0912478229102098	-0.255457847130034	0.999578625068804	-0.0813070861914595	0.0912478229102098	-0.891057820321563	0.918482540062188
Camk2d	0.00295982355176458	0.195784296785646	0.0151177780872035	0.992642685423546	0.00848590356470234	0.195784296785646	0.0433431266144553	0.999578625068804	-0.0792253156480676	0.195784296785646	-0.404656128958123	0.918482540062188
Camk4	0.022334275844439	0.255122816469859	0.087543231740222	0.992055659880885	0.0270495574591819	0.255122816469859	0.106025630453079	0.999578625068804	-0.0511917582420099	0.255122816469859	-0.20065535082417	0.918482540062188
Cdk1	-0.0361410933529731	0.103310939680861	-0.349828328583759	0.992055659880885	0.0754512232777407	0.103310939680861	0.73033140063209	0.999578625068804	-0.0924049324043505	0.103310939680861	-0.894435116840477	0.918482540062188
Cdk2	0.0186515311213663	0.132732810989094	0.14051937107622	0.992055659880885	-0.159189785257109	0.132732810989094	-1.19932505061005	0.999578625068804	0.0145083726155653	0.132732810989094	0.109305095759309	0.926012379880277
Cdk4	-0.0565401324941138	0.166599538615366	-0.339377485460209	0.992055659880885	-0.171636611484866	0.166599538615366	-1.03023461476162	0.999578625068804	-0.0653654802324404	0.166599538615366	-0.392350907905886	0.918482540062188
Cdk5	0.0787832410191762	0.111480233723637	0.706701433856717	0.992055659880885	0.0146947258098204	0.111480233723637	0.131814630441564	0.999578625068804	-0.0967491079106693	0.111480233723637	-0.867858854247771	0.918482540062188
Cdk6	0.138063582464266	0.216467891484514	0.637801668956263	0.992055659880885	0.158292300909464	0.216467891484514	0.731250717249159	0.999578625068804	-0.0458948178526316	0.216467891484514	-0.212016745476153	0.918482540062188
