Signature ID	Percent Overlap (Experiment01)	Percent Overlap (Experiment02)	adj p-val (Experiment01)	adj p-val (Experiment02)	Overlap (Experiment01)	Overlap (Experiment02)	Score (Experiment01)	Score (Experiment02)
KEGG_ACUTE_MYELOID_LEUKEMIA	21.1	21.1	0.613745454545454	0.884302317351113	STAT5A|ARAF|MTOR|IKBKB|SOS1|RAF1|AKT1|EIF4EBP1|MAP2K2|BRAF|PML|JUP	PML|RAF1|STAT5A|ARAF|JUP|AKT1|IKBKB|SOS1|MTOR|MAP2K2|BRAF|EIF4EBP1	-1.6603	0.7442
KEGG_ADHERENS_JUNCTION	17.8	17.8	0.933971912494699	0.653198653198653	IGF1R|YES1|ACTG1|ERBB2|CSNK2A1|SSX2IP|MAP3K7|LMO7|BAIAP2|NECTIN1|TJP1|ACTN4|PARD3	TJP1|ACTN4|NECTIN1|ERBB2|YES1|CSNK2A1|LMO7|ACTG1|IGF1R|MAP3K7|BAIAP2|SSX2IP|PARD3	0.3994	1.4433
KEGG_ALZHEIMERS_DISEASE	9.0	9.0	0.9921875	0.97114134137027	LRP1|NDUFV3|PSEN1|PLCB3|CASP7|ATP2A3|MAPT|PPP3CA|FAS|CDK5|ATP2A2|PLCB4|GAPDH|NDUFA4|NDUFB7	NDUFV3|PSEN1|MAPT|GAPDH|PLCB4|CASP7|FAS|LRP1|ATP2A2|PPP3CA|PLCB3|ATP2A3|NDUFA4|CDK5|NDUFB7	-0.0357	0.0623
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	13.5	13.5	0.466948456029118	0.969817015657423	PKP2|ACTG1|ITGA3|DSP|ITGB1|EMD|ATP2A2|JUP|ACTN4|LMNA	ACTN4|PKP2|ITGA3|JUP|ATP2A2|ACTG1|EMD|ITGB1|DSP|LMNA	-2.2494	0.143
KEGG_AXON_GUIDANCE	10.1	10.1	0.367916108879964	0.137471655328798	SEMA4B|PAK4|PPP3CA|PAK1|ABL1|CDK5|LIMK1|PAK2|ITGB1|LIMK2|SEMA4F|NFATC2|ARHGEF12	ABL1|PPP3CA|PAK4|ITGB1|NFATC2|PAK1|SEMA4B|PAK2|SEMA4F|LIMK2|CDK5|LIMK1|ARHGEF12	-2.3912	-3.08
KEGG_CALCIUM_SIGNALING_PATHWAY	10.1	10.1	0.933155182286696	0.894577417173766	GRPR|SLC25A5|ERBB2|PLCB3|ATP2A3|PHKA1|PPP3CA|SLC25A6|P2RX4|ATP2B1|GNAS|ITPKB|MYLK|ATP2A2|PLCB4|PLCG1|PHKA2|ADCY9	SLC25A5|ERBB2|SLC25A6|PHKA2|GNAS|PLCB4|ATP2B1|ATP2A2|MYLK|PPP3CA|PLCB3|GRPR|ATP2A3|P2RX4|ITPKB|PLCG1|PHKA1|ADCY9	-0.5685	0.508
KEGG_CELL_CYCLE	20.0	20.0	0.926669615214507	0.0407563025210084	MCM3|WEE1|MCM7|PKMYT1|HDAC1|ANAPC1|CDC20|CCNH|RBL2|ORC3|CDC7|PRKDC|ABL1|PCNA|CDK2|BUB3|MCM2|CDC25B|CHEK2|CCNE2|CDC45|RBL1|RB1|CDC6|ORC1	CHEK2|BUB3|RBL2|PRKDC|ABL1|HDAC1|MCM2|CDC45|CCNH|ANAPC1|CDC7|PCNA|MCM3|CDC25B|PKMYT1|CDK2|RBL1|ORC3|CDC20|RB1|MCM7|CCNE2|WEE1|CDC6|ORC1	-0.6277	-4.2903
KEGG_CHEMOKINE_SIGNALING_PATHWAY	9.5	9.5	0.72615205307513	0.911105345096004	FOXO3|PRKCD|PLCB3|IKBKB|PREX1|PAK1|SOS1|RAP1A|BCAR1|RAF1|AKT1|CRK|VAV2|PLCB4|BRAF|PXN|PARD3|ADCY9	FOXO3|PRKCD|RAF1|PREX1|PXN|PLCB4|AKT1|IKBKB|SOS1|PLCB3|RAP1A|PAK1|CRK|BRAF|BCAR1|VAV2|PARD3|ADCY9	-1.2706	-0.4054
KEGG_CHRONIC_MYELOID_LEUKEMIA	20.5	20.5	0.466948456029118	0.893648407926965	STAT5A|ARAF|HDAC1|IKBKB|SOS1|ABL1|RAF1|CBL|AKT1|CRK|MAP2K2|BRAF|MECOM|RB1|GAB2	RAF1|STAT5A|ABL1|ARAF|HDAC1|AKT1|IKBKB|SOS1|CBL|CRK|MECOM|MAP2K2|BRAF|GAB2|RB1	-2.1023	-0.5275
KEGG_ENDOCYTOSIS	16.6	16.6	0.72615205307513	0.545179420665802	IGF1R|EPN2|EHD1|HLA-A|RAB11FIP5|RAB11FIP1|IQSEC1|AP2S1|EEA1|AGAP1|AP2A1|PIKFYVE|EHD4|SMAP2|ASAP1|RAB11B|CBL|ASAP3|PIP5K1A|HSPA8|VPS4A|IQSEC2|ARFGAP2|CHMP5|EPN3|GIT1|DNM1L|PARD3|EHD2|FGFR3	RAB11B|AP2S1|EPN2|AP2A1|EHD1|CHMP5|EHD4|SMAP2|ASAP1|VPS4A|EEA1|ARFGAP2|DNM1L|PIKFYVE|GIT1|RAB11FIP1|CBL|IGF1R|HLA-A|IQSEC2|IQSEC1|ASAP3|HSPA8|EHD2|EPN3|AGAP1|PIP5K1A|RAB11FIP5|FGFR3|PARD3	-1.2805	-1.8308
