Signature ID	Percent Overlap (Experiment01)	Percent Overlap (Experiment02)	adj p-val (Experiment01)	adj p-val (Experiment02)	Overlap (Experiment01)	Overlap (Experiment02)	Score (Experiment01)	Score (Experiment02)
KEGG_ABC_TRANSPORTERS	31.0	31.0	0.452698412698413	0.462421113023523	Abcb4|Abcb11|Abcb5|Abcd4|Abcc4|Abcd1|Abcd3|Abcg5|Abcb10|Cftr|Abcc12|Abca1|Abcc1	Abcc4|Abcb11|Abcd4|Abcb10|Abcc12|Abca1|Abcb5|Abcg5|Abcd1|Cftr|Abcc1|Abcd3|Abcb4	2.4368	2.4225
KEGG_ACUTE_MYELOID_LEUKEMIA	43.9	43.9	0.400387471746852	0.916169987656498	Pik3r5|Runx1t1|Lef1|Pik3cb|Tcf7|Rara|Nras|Mtor|Pim2|Ikbkb|Stat5b|Akt3|Flt3|Pml|Mapk1|Rela|Runx1|Kit|Zbtb16|Rps6kb1|Tcf7l1|Mapk3|Sos2|Chuk|Spi1	Lef1|Nras|Rela|Stat5b|Ikbkb|Pik3cb|Sos2|Mapk1|Runx1t1|Akt3|Tcf7|Pik3r5|Flt3|Kit|Pml|Tcf7l1|Zbtb16|Rara|Pim2|Rps6kb1|Spi1|Chuk|Mtor|Mapk3|Runx1	2.5428	-0.4025
KEGG_ADHERENS_JUNCTION	43.8	43.8	0.275005544466622	0.937956824749278	Ptpn6|Baiap2|Lef1|Tcf7|Smad3|Ctnna2|Pard3|Ep300|Wasl|Src|Sorbs1|Ptprm|Nectin4|Wasf2|Tgfbr1|Snai2|Mapk1|Wasf1|Csnk2b|Igf1r|Smad4|Actn3|Ctnnd1|Cdh1|Nectin2|Tcf7l1|Mapk3|Ctnna3|Yes1|Actg1|Tgfbr2|Ssx2ip	Ssx2ip|Lef1|Cdh1|Baiap2|Wasf2|Smad3|Ptprm|Mapk1|Ptpn6|Tcf7|Yes1|Smad4|Csnk2b|Pard3|Wasl|Tgfbr1|Nectin2|Sorbs1|Ctnna2|Tcf7l1|Src|Actg1|Nectin4|Ctnnd1|Ep300|Actn3|Ctnna3|Tgfbr2|Igf1r|Mapk3|Snai2|Wasf1	3.0802	-0.2961
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	41.8	41.8	0.750396825396825	0.699177417340257	Prkaa2|Nfkbie|Nfkbia|Mtor|Tnf|Ikbkb|Mapk9|Camkk2|Akt3|Socs3|Rxrg|Slc2a1|Pck1|Prkag2|Rela|Npy|Ptpn11|G6pc|Acacb|Prkag3|Acsl4|Irs4|Lepr|Mapk10|Pomc|Mapk8|Chuk|Tnfrsf1b	Acacb|Slc2a1|Mapk9|Rxrg|Npy|Prkag2|G6pc|Rela|Ptpn11|Ikbkb|Camkk2|Irs4|Lepr|Akt3|Tnfrsf1b|Nfkbia|Tnf|Mapk8|Prkaa2|Socs3|Prkag3|Pomc|Nfkbie|Chuk|Acsl4|Mtor|Mapk10|Pck1	-1.0856	1.2626
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	23.8	23.8	0.970141920891386	0.796734693877551	Pik3r5|Pik3cb|Hsd11b1|Fxyd2|Mapk1|Mapk3|Ins2|Irs4|Scnn1a|Igf1	Fxyd2|Pik3cb|Mapk1|Irs4|Igf1|Pik3r5|Ins2|Scnn1a|Mapk3|Hsd11b1	0.1556	-0.8693
KEGG_ALLOGRAFT_REJECTION	32.4	32.4	0.803994034882967	0.0744297719087635	H2-T23|Tnf|H2-M2|H2-Q10|Il4|Il10|Il12b|Il2|H2-Q1|Gm8909|Cd40lg	Il12b|Tnf|Il4|H2-Q1|H2-M2|H2-T23|Il10|Il2|Cd40lg|H2-Q10|Gm8909	-0.8167	-4.1512
KEGG_ALZHEIMERS_DISEASE	33.5	33.5	0.746828225231646	0.76823531114746	Ryr3|Uqcr11|Ppp3r2|Apbb1|Ndufa8|Ndufa6|Ndufs5|Uqcrq|Ndufv1|Mapt|Grin2a|Cacna1s|Ndufb2|Apoe|Capn1|Tnf|Cacna1f|Ndufa9|Aph1a|Ndufa5|mt-Atp6|Mapk1|Atp5j|Cyc1|Atp5g2|Uqcrc2|mt-Co1|Ndufc2|Cacna1c|Ndufs3|Cox6b2|Atp5g3|Psen2|Cox7c|Ndufb1|Adam10|Ndufv2|Capn2|Mapk3|Snca|Grin2d|Ndufs8|Sdhc|Cox8a|Ndufb8|Lrp1|Cox7b|Lpl|Ndufb4|Cox4i2|Ide|Gsk3b|Casp8|Cox4i1	Capn1|mt-Co1|mt-Atp6|Ndufa6|Ndufs3|Ndufa8|Ide|Ndufv2|Apbb1|Cox8a|Cyc1|Uqcr11|Mapk1|Apoe|Atp5j|Ndufs5|Ryr3|Snca|Cox6b2|Grin2a|Ndufc2|Cacna1f|Ndufs8|Ndufa9|Ndufb2|Tnf|Cox7c|Ndufb1|Cacna1s|Cox7b|Uqcrc2|Atp5g2|Ndufv1|Aph1a|Grin2d|Lrp1|Cacna1c|Uqcrq|Cox4i1|Ndufa5|Psen2|Mapt|Lpl|Ndufb4|Atp5g3|Ndufb8|Capn2|Cox4i2|Adam10|Sdhc|Casp8|Mapk3|Ppp3r2|Gsk3b	-1.2338	-0.9746
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	34.1	34.1	0.933900407584618	0.652601969057665	Pars2|Dars2|Nars|Yars|Dars|Sars2|Hars|Qars|Vars2|Kars|Hars2|Iars2|Rars2|Cars2	Vars2|Dars2|Hars2|Qars|Hars|Sars2|Pars2|Yars|Nars|Kars|Cars2|Iars2|Rars2|Dars	0.2231	1.5164
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	31.8	31.8	0.56481907978914	0.684131142335477	Gnpda2|Gne|Pgm2|Cyb5r3|Hexb|Gnpnat1|Gmppb|Pgm3|Hk1|Hk2|Cmas|Gale|Uap1|Ugp2	Cyb5r3|Gne|Hk1|Pgm2|Pgm3|Uap1|Cmas|Gmppb|Hexb|Gnpda2|Gnpnat1|Hk2|Gale|Ugp2	-1.7692	1.3964
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	26.4	26.4	0.985452308510815	0.904037886340977	Ppp3r2|Prph|Grin2a|Nefh|Tnf|Slc1a2|Gria1|Cat|Tomm40|Casp1|Mapk11|Grin2d|Gria2|Tnfrsf1b	Slc1a2|Cat|Tomm40|Nefh|Tnfrsf1b|Grin2a|Gria2|Tnf|Gria1|Grin2d|Casp1|Prph|Mapk11|Ppp3r2	0.0723	-0.403
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	38.9	38.9	0.744917931128035	0.480671906966728	Ifna12|Ctsb|Ifna5|Calr|Nfyc|H2-T23|Ifna11|B2m|Kir3dl1|Tapbp|Klrc1|H2-M2|H2-Q10|Rfxap|Ifi30|Hsp90ab1|Ifna2|Ifna15|Ctss|Klrc3|Ifna4|H2-Q1|Psme1|Canx|Pdia3|Gm8909|Cd74|Rfxank	Rfxap|Ctsb|Ifna12|Ifna15|Hsp90ab1|B2m|Ifna5|Ctss|Rfxank|Ifna2|Kir3dl1|Ifna4|Klrc3|Canx|Pdia3|Klrc1|Ifi30|Nfyc|Cd74|Ifna11|H2-Q1|H2-M2|H2-T23|Psme1|Tapbp|Calr|H2-Q10|Gm8909	1.2408	-2.2795
