id,Experiment01,Experiment02
Nat9,10.0034,14.6499
Gstp1,-7.767,7.6684
Nmrk1,-7.6898,-7.3257
Rfc5,-20.6446,8.9068
Or52n5,7.2639,-5.1188
Or52e2,-8.7022,5.817
Tcerg1,-14.6327,16.7877
Crybb2,2.0088,-28.9298
Cd63,19.4183,23.3775
Gpr68,-6.6836,10.3398
Tapbp,2.8019,-38.0231
Or6b6,-9.6663,17.9208
Or6k6,-10.2648,8.9638
Plcd4,-0.3391,4.7835
Vmn1r172,-13.3035,-18.6629
Hsp90b1,0.1658,1.3362
Ccnb1-ps,10.7958,-0.9484
Gpr119,4.1052,3.3862
Raver1,-1.9954,1.6564
H3c1,3.3779,20.3449
Adora2a,-5.0519,-43.8483
Stk36,0.4871,22.0205
Dhx38,7.4898,1.1185
Plek,9.5018,15.973
C1d,-9.1041,-27.5794
Sh3rf1,26.4533,-22.0973
Or6c6c,-14.6769,4.3705
Fgg,-18.5896,-10.8809
Col2a1,-20.6596,-36.2255
Efnb1,8.494,-6.9393
Spry4,-5.0605,29.1314
Cmpk2,-5.7597,-22.1119
Igfbp7,-11.2887,30.9948
Adgre1,-20.5264,36.79
Tjp2,18.13,18.6645
mt-Atp6,2.0364,23.7631
Dnal4,-2.6073,-13.9481
Kcnj6,13.4913,7.4289
Hemk1,-22.7412,-32.4663
Crls1,-21.4407,-38.8064
Or13a17,0.0724,6.0619
Abcd3,2.6982,-17.0217
Nrg4,-6.9051,-3.2738
Hexb,0.3014,5.1297
P2rx6,18.5446,27.1721
Ackr2,0.6601,-15.8128
Polr2k,-8.835,-27.5669
Tpm3,-2.5953,9.9035
Csad,8.6396,-21.9248
Timp2,2.1493,-13.9491
Trpc1,2.4216,0.1375
Mefv,7.2566,-3.6937
Rbl2,-0.5313,-17.2361
P4ha1,-2.9177,-17.4655
Chrnd,6.3648,13.6111
Trmt2a,-1.8744,-6.5456
Tmsb4x,1.5653,-20.7584
Cry2,-9.475,18.2307
Kpnb1,2.8492,8.7975
Dctn6,-11.9431,16.7761
Eif2b5,-15.8632,-39.9532
Ldha,2.2629,21.5248
Dyrk1a,-57.7783,-50.8995
Tfap2a,3.8835,-7.0882
Rps21,-1.0678,-15.4968
Mmp1a,-3.92,-10.3635
Or9s13,-3.0043,0.0
Fxr1,-0.8673,20.8986
Neu1,7.4917,20.9472
Slc25a10,-6.3599,-7.9987
Lpcat4,-6.6454,23.0142
P2ry12,8.9371,30.8578
Gpt2,4.777,4.8602
Rbpms,1.4843,4.5206
Scin,-3.0704,11.5597
Rpl27,2.3113,-38.3786
Klk1,-3.1783,-11.3921
Pold3,3.6928,-36.4357
Kcnb1,-4.0092,6.2545
Ppbp,-7.4426,-9.9459
Prss3,5.3498,25.8455
Gas1,-4.9452,27.3562
Plce1,-8.4287,-10.7051
Ftmt,10.9315,27.4628
Btk,-26.5658,-25.9804
Neil3,-2.1329,-5.3989
Adgre5,-0.6956,26.4596
Ikbkb,5.4608,10.977
Sox11,-16.9899,-10.6582
Omg,-11.6355,27.2462
Hs3st6,4.0257,-0.8436
Gpr26,-28.3111,-29.024
Pms2,6.6792,-4.8778
Gstm3,12.7613,3.7011
Aass,-11.949,-40.6807
Patl1,6.6449,19.3685
Eif3c,-8.0056,-34.8469
Nfatc4,6.5068,0.503
Eef2,3.7278,33.6746
Phka1,-3.5507,-11.0998
Gpr27,4.9955,7.6072
Rbm38,14.6337,14.0945
Ephb2,-34.5894,-8.1494
Psmd4,-0.2693,13.7496
Rpl10a,2.0322,18.5543
Sema3a,-9.6088,5.6507
Cacna1f,5.9209,4.3397
Oat,-0.5186,-15.4575
Rad23b,-11.2682,20.6733
Or9g20,4.8665,16.9476
Or8g26,-8.527,2.3094
Ccne1,-2.2943,3.3129
Ebf1,-10.752,-6.1202
Rapgef3,3.3065,-2.6951
Bmpr1b,-1.9688,8.1554
Adss,-9.8672,-15.2299
Pfn1,7.9827,33.7472
Socs3,2.2968,-1.9021
Dnm2,0.0148,-1.415
Ar,-8.4383,8.8323
Acyp2,-14.082,19.6509
Selenoo,31.1458,36.9249
Tec,0.1989,-0.3615
Ptgir,12.0234,29.7023
Chuk,-21.3787,-21.2484
Cyp2c39,-1.084,-7.6813
Eno3,-3.4381,-19.5519
Slit1,5.6175,-8.5224
Mmp20,21.3731,21.1806
Gstp2,-26.4481,-16.7471
Sfrp1,-6.5879,4.2839
Stat1,-11.393,-15.482
Smarcal1,8.3139,-27.5917
Psmb1,-17.1905,-22.3269
Eif3j1,-6.2308,-0.4373
Irx6,0.8506,16.1107
Eif2ak1,-2.7238,-27.0514
F11,-1.3368,37.4352
Selenoi,12.3336,17.1868
F10,2.3223,-17.3768
Cyp17a1,-21.7098,34.8655
Mgst3,-4.6833,-4.2336
Qdpr,-12.9493,24.9892
Pkn1,-3.7595,-43.7062
Rock1,-11.0051,-20.9499
Idua,10.4523,5.9108
Npy,-1.3461,15.3855
Pafah1b1,3.3006,3.3246
Ldlr,-35.6987,-43.3453
Acvrl1,15.9407,10.4926
Pde7b,-12.1151,-3.4048
Lsm7,9.3414,8.4964
Skp1,13.4082,-1.6963
Tjp3,9.6522,7.5194
Rpl3,-6.6946,-16.5827
Yes1,-9.9176,5.008
Oxt,-13.6342,34.3533
Yars,7.0214,-0.2925
Rela,-0.3598,12.5502
Apoa2,18.0042,31.0517
Atp6v1g1,32.1247,13.789
Gab2,14.5631,-10.1542
Mir34b,-5.466,-0.2478
Cnot8,-7.8091,-2.1202
Adh5,3.674,15.4503
Scnn1a,-11.9022,-22.107
Map3k14,-9.2678,-20.1815
Abcb5,8.191,3.6958
Snrpd3,-14.7896,32.3981
Plscr1,0.0503,-8.7662
Gpr155,-11.4291,2.3981
Cpeb4,14.8962,9.4115
Uba52,3.963,13.7397
Dmac2l,4.4044,4.1365
Nrcam,-12.9664,-42.4577
Tnfrsf1b,-24.8832,5.6662
Reln,13.3205,-14.3581
Sat1,-2.2341,21.4168
Maml2,2.5006,20.5612
Atp6v0a2,-8.5162,14.9588
Rbmx2,1.6499,23.3606
Chrna7,-3.1504,-10.9567
Il1rap,-1.2708,12.7209
Fabp2,-13.6153,-13.256
Nefh,6.9343,5.7592
Hes1,-10.6717,-23.4343
Ech1,18.4235,-29.3864
Wnt11,-16.1967,-15.7029
Cldn23,-2.2763,2.6862
Xpa,-1.8925,14.3516
Mlst8,-3.1492,1.6648
Inpp4a,-17.1026,-26.87
Or1a1,-24.6675,-7.2011
Ece1,5.3741,-26.0832
Dcp2,-6.7901,4.0679
Prl,-13.5006,-34.4506
Il18,-3.3527,18.1518
Ifnar2,1.2979,5.3262
C4bp,2.1166,-32.1254
Chpf2,-12.1055,-33.2371
Utrn,5.523,12.6478
Cyp26a1,7.1886,20.5568
Or5c1,-3.0323,-8.5625
Pomc,-13.1826,-18.3782
Klk1b24,15.5043,1.8017
Cyp2u1,33.1493,29.8963
Rbm43,-9.3593,21.8662
Gpld1,-25.9685,26.4829
Vmn1r54,0.3387,-10.7313
Pde8b,-12.1086,-2.2498
Rpl23a,-8.3607,-1.737
Kiss1r,9.4512,17.7718
Ccl9,-4.7671,-4.4483
Cant1,-0.8041,-9.1106
Cabin1,6.9247,-25.1683
H2ab1,-16.1016,-41.5523
Rxrg,1.1736,18.1322
Pla2g1b,-3.1979,-7.2586
Or7d9,-4.2202,-17.7066
Nudt5,4.5345,-4.728
Pax2,0.8868,-7.2945
Mat2a,-2.5788,-27.8013
Psmd6,2.6226,-1.9304
Sfswap,2.1617,-3.5609
Dll4,-15.4733,-13.6014
Cdc27,-1.4461,-14.3525
Tek,-0.2571,-9.417
H3c11,4.6472,17.7459
Itgb4,2.9161,1.1814
Cdc26,-12.1943,-30.0319
Ccr6,3.471,32.8084
B4galt6,8.6038,-5.5544
Adss2,6.5877,12.1051
Eif3g,-22.0377,-23.3912
Tuba3a,7.564,-14.4361
Cdkn1a,17.0923,13.6119
Pnliprp2,-20.4714,2.9353
Ltc4s,11.8207,-5.0789
Thpo,13.8793,-1.1433
Lck,4.5818,-12.1533
Suv39h1,-1.8371,-23.2322
Srsf5,-15.9697,-2.8735
Gnrh1,-1.7258,11.7985
Kdelr1,6.7163,0.0
Hnrnpdl,10.1646,-1.0057
Rps6ka5,-16.2725,13.1676
Prps1,13.6,4.64
Itga2,-19.3999,-1.3431
Mboat1,0.6596,7.6775
Ccng2,-17.4121,-1.1085
Kit,-3.2124,0.3836
Rab11a,-15.0775,-11.8066
Rock2,-5.4526,5.01
Wdr61,-14.5513,4.7489
Ndufb4,-24.3883,-23.2837
Rbm12b2,-28.8764,-20.3642
Kir3dl1,2.8796,-2.0926
Smad3,14.371,16.6785
Tas2r129,-4.7374,-13.3541
Il22ra2,-4.6928,-33.132
Rps15a,-19.0859,7.1745
Ffar2,6.7713,22.213
Upp1,7.8078,24.9739
Adgra3,-12.906,-2.1921
Cftr,-0.5173,-2.5034
Ccrl2,1.6728,-28.4413
St3gal1,12.6379,-22.0146
Cyp4f18,8.1489,0.3504
Mrgpra1,20.6102,38.15
Frat2,-10.0695,-19.8415
Tg,3.6105,0.9706
H2ac18,4.951,-5.0035
Rgs14,-0.2861,-14.5586
Ankrd6,-9.289,23.6199
Or5t7,-28.8045,-27.3422
Tnfrsf21,12.4988,6.3129
Abo,7.6481,1.5396
Tnfsf14,-23.9233,25.2152
Cd55,-0.1017,1.4922
Ctsw,1.5848,-16.1798
Sdhc,-12.1441,-30.5656
Plod2,-6.0339,-42.6527
Sting1,9.9642,5.4005
H3c4,0.7467,7.3371
Tlr5,15.4187,10.524
Max,3.8035,9.5046
Rgs2,-4.2574,-9.7996
Otx2,3.2031,3.5111
Cd53,-10.2434,8.1917
Gpr165,-1.3667,-29.4119
Npy1r,17.7025,-29.2265
Or2at4,-0.2297,9.7842
Sort1,-7.0909,-20.9514
Guca1b,-27.699,-2.9602
Stx1b,4.2935,-5.0691
Nox3,3.2693,-0.0551
Slc6a9,-1.2499,-19.3754
Gstm4,1.5299,15.5332
Ak7,7.1876,-6.9228
Igfbp5,-8.5071,3.5538
Kpna2,-6.431,9.8209
Rbm42,10.3565,14.5176
Ttc14,-9.0009,3.4597
Plxnb1,3.6322,-2.8399
Taf6l,-17.5891,-29.8882
Gli2,-3.2606,17.4195
Acap3,4.5946,12.7983
Rbm19,-0.978,-28.9681
Vmn1r10,-26.1984,-7.6548
Prpf31,-24.5829,-12.0255
Opn1mw,-2.2693,1.0385
Or9q2,-12.6451,2.9696
Rcor2,-2.9678,-8.8969
Ptk2b,4.9126,17.7414
Calca,-0.9165,7.3216
Stat2,-10.2782,-7.3116
Atp6v0e2,2.4495,13.2762
Auh,0.4508,13.149
Pla2g4b,11.7358,13.6098
Ppp2cb,-4.2051,-39.1846
Sult4a1,2.7587,-9.4262
Cpeb3,-23.4649,13.248
Ap1s1,-16.7568,17.8854
Irs3,-15.8052,28.7994
Gpr137b,-2.8353,7.9791
Ccr5,-2.8011,-29.451
Or5p58,7.6298,15.7137
Ldhb,-8.2714,29.1689
Cul1,8.4649,8.0548
Ube2e3,-39.496,-44.9172
Mtap,22.0904,-13.7759
Klrc3,-2.6816,-5.1812
Lrat,-5.0253,5.3728
Gria1,3.421,-0.9258
Cltb,0.3632,19.3924
Wnt5a,0.8614,5.935
Snrpc,0.7693,8.4018
Map3k3,13.8606,16.922
Eif3d,-2.6693,-25.6084
Or8k22,1.8144,18.9687
Ltbr,3.3896,12.9081
Tomm40,-6.4938,10.1027
Or5t5,-1.3392,0.7443
Fgf22,-12.2051,13.3385
Nfatc2,14.5802,30.8962
Adgrf5,12.1062,-40.2422
Cfl2,-8.0736,15.0374
Nr4a1,-33.3996,-38.8612
Fbxw8,-21.3248,1.9979
Eif2b2,-3.1672,28.2957
Fam13a,6.8018,-36.906
Cs,0.4765,-4.7862
Slc25a29,-16.1303,-11.9915
Nudt2,-10.6505,-38.5754
Trem1,-30.8955,-8.4235
Pgap1,-9.8162,1.0704
Cdc25b,-21.7028,-37.8887
Chst1,7.2172,16.795
Slc2a1,1.0261,29.5197
Map3k1,-15.8407,-13.7202
Gja3,0.6261,5.6755
Psmb6,-12.248,10.3373
Cyp4b1,-7.2299,1.0103
Uroc1,-1.587,25.7762
Ddx56,7.0905,-9.1459
Fasn,3.9144,19.4286
Or2t46,-14.4058,-24.8692
Amy1,8.2994,-4.0363
Gpr85,-3.7886,-16.7651
Dicer1,-13.9258,16.8139
Diablo,20.7041,-21.4248
