Signature ID	Percent Overlap (Experiment01)	Percent Overlap (Experiment02)	adj p-val (Experiment01)	adj p-val (Experiment02)	Overlap (Experiment01)	Overlap (Experiment02)	Score (Experiment01)	Score (Experiment02)
KEGG_ACUTE_MYELOID_LEUKEMIA	21.1	21.1	0.597424412094065	0.843233845262243	STAT5A|ARAF|MTOR|IKBKB|SOS1|RAF1|AKT1|EIF4EBP1|MAP2K2|BRAF|PML|JUP	PML|RAF1|STAT5A|ARAF|MTOR|JUP|AKT1|IKBKB|SOS1|MAP2K2|BRAF|EIF4EBP1	-1.9181	0.6905
KEGG_ADHERENS_JUNCTION	17.8	17.8	0.803834260977118	0.678730456325957	IGF1R|YES1|ACTG1|PARD3|ERBB2|CSNK2A1|SSX2IP|MAP3K7|LMO7|BAIAP2|TJP1|NECTIN1|ACTN4	TJP1|ACTN4|NECTIN1|ERBB2|YES1|CSNK2A1|LMO7|ACTG1|IGF1R|MAP3K7|BAIAP2|PARD3|SSX2IP	1.0787	1.0517
KEGG_ALZHEIMERS_DISEASE	9.0	9.0	1.0	0.995287829953898	LRP1|NDUFV3|PSEN1|PLCB3|CASP7|ATP2A3|MAPT|PPP3CA|FAS|CDK5|ATP2A2|PLCB4|GAPDH|NDUFA4|NDUFB7	NDUFV3|PSEN1|MAPT|GAPDH|PLCB4|CASP7|FAS|LRP1|ATP2A2|PPP3CA|PLCB3|ATP2A3|NDUFA4|CDK5|NDUFB7	0.0434	0.0136
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	13.5	13.5	0.717276233541694	0.917355764661154	PKP2|ACTG1|LMNA|ITGA3|DSP|ITGB1|EMD|ATP2A2|JUP|ACTN4	ACTN4|LMNA|PKP2|ITGA3|JUP|ATP2A2|ACTG1|EMD|ITGB1|DSP	-1.3973	0.3896
KEGG_AXON_GUIDANCE	10.1	10.1	0.573198627525734	0.0194	ARHGEF12|SEMA4B|PAK4|PPP3CA|PAK1|ABL1|CDK5|LIMK1|PAK2|ITGB1|LIMK2|SEMA4F|NFATC2	ABL1|ARHGEF12|PPP3CA|PAK4|ITGB1|NFATC2|SEMA4B|PAK1|PAK2|SEMA4F|LIMK2|CDK5|LIMK1	-1.8974	-3.7327
KEGG_CALCIUM_SIGNALING_PATHWAY	10.1	10.1	0.957147218660316	0.910441022716472	GRPR|SLC25A5|ERBB2|PLCB3|ATP2A3|PHKA1|PPP3CA|ITPKB|ADCY9|SLC25A6|P2RX4|ATP2B1|GNAS|MYLK|ATP2A2|PLCB4|PLCG1|PHKA2	SLC25A5|ERBB2|SLC25A6|PHKA2|GNAS|PLCB4|ATP2B1|ATP2A2|MYLK|PPP3CA|PLCB3|ADCY9|ITPKB|GRPR|ATP2A3|P2RX4|PLCG1|PHKA1	-0.3525	0.3561
KEGG_CELL_CYCLE	20.0	20.0	0.944939681861856	0.0235294117647059	MCM3|WEE1|MCM7|PKMYT1|HDAC1|ANAPC1|CDC20|CCNH|RBL2|ORC3|CDC7|PRKDC|ABL1|PCNA|CDK2|RB1|BUB3|MCM2|CDC25B|CHEK2|CCNE2|CDC45|RBL1|CDC6|ORC1	CHEK2|BUB3|RBL2|MCM3|PRKDC|ABL1|HDAC1|MCM2|CDC45|ANAPC1|CCNH|CDC7|PCNA|CDC25B|PKMYT1|CDK2|RBL1|ORC3|CDC20|RB1|MCM7|CCNE2|WEE1|CDC6|ORC1	-0.4637	-4.9106
KEGG_CHEMOKINE_SIGNALING_PATHWAY	9.5	9.5	0.953476403684833	0.658155521828408	FOXO3|PRKCD|PARD3|PXN|PLCB3|IKBKB|ADCY9|PREX1|PAK1|SOS1|RAP1A|BCAR1|RAF1|AKT1|CRK|VAV2|PLCB4|BRAF	FOXO3|PRKCD|RAF1|PREX1|PXN|PLCB4|CRK|AKT1|IKBKB|SOS1|PLCB3|ADCY9|RAP1A|PAK1|PARD3|BRAF|BCAR1|VAV2	-0.4042	-1.0906
KEGG_CHRONIC_MYELOID_LEUKEMIA	20.5	20.5	0.266117969821674	0.280772353418758	STAT5A|ARAF|HDAC1|IKBKB|SOS1|ABL1|RAF1|CBL|AKT1|CRK|RB1|MAP2K2|BRAF|MECOM|GAB2	RAF1|STAT5A|ABL1|ARAF|HDAC1|CRK|AKT1|IKBKB|SOS1|CBL|MECOM|MAP2K2|BRAF|GAB2|RB1	-3.1232	-2.2535
KEGG_ENDOCYTOSIS	16.6	16.6	0.803834260977118	0.461943580693055	IGF1R|EPN2|EHD1|HLA-A|PARD3|RAB11FIP5|RAB11FIP1|IQSEC1|AP2S1|EEA1|AGAP1|AP2A1|PIKFYVE|EHD4|SMAP2|RAB11B|ASAP1|CBL|HSPA8|ASAP3|FGFR3|PIP5K1A|VPS4A|IQSEC2|ARFGAP2|CHMP5|EPN3|GIT1|DNM1L|EHD2	RAB11B|AP2S1|RAB11FIP5|EPN2|AP2A1|AGAP1|EHD1|CHMP5|EHD4|SMAP2|ASAP1|VPS4A|EEA1|RAB11FIP1|ARFGAP2|DNM1L|PIKFYVE|GIT1|HSPA8|CBL|IGF1R|HLA-A|IQSEC2|PARD3|IQSEC1|ASAP3|FGFR3|EHD2|EPN3|PIP5K1A	-1.0379	-1.7689
KEGG_ENDOMETRIAL_CANCER	21.2	21.2	0.840904862893924	0.904675387596899	FOXO3|ERBB2|APC|ARAF|PDPK1|AXIN1|SOS1|RAF1|AKT1|MAP2K2|BRAF	FOXO3|ERBB2|RAF1|ARAF|PDPK1|AXIN1|AKT1|SOS1|APC|MAP2K2|BRAF	0.974	0.3827
