uniprot,gene_name
Q60888,Or10d1b
Q8VBW9,Or10h28
Q60885,Or10p22
Q9CQV8,Ywhab
P62259,Ywhae
P68510,Ywhah
P61982,Ywhag
O70456,Sfn
P68254,Ywhaq
P63101,Ywhaz
A2AIG8,Accs
Q3UX83,Accsl
Q6PD03,Ppp2r5a
Q6PD28,Ppp2r5b
Q61151,Ppp2r5e
Q60996,Ppp2r5c
Q76MZ3,Ppp2r1a
Q7TNP2,Ppp2r1b
Q6P1F6,Ppp2r2a
Q6ZWR4,Ppp2r2b
Q925E7,Ppp2r2d
Q8BG02,Ppp2r2c
C0HKD1,Spata31f1b
C0HKD2,Spata31f1c
C0HKD3,Spata31f1d
P24815,Hsd3b1
P26149,Hsd3b2
P26150,Hsd3b3
Q61767,Hsd3b4
Q61694,Hsd3b5
O35469,Hsd3b6
Q9EQC1,Hsd3b7
P55194,Sh3bp1
Q06649,Sh3bp2
Q99LH9,Sh3bp5l
Q9Z131,Sh3bp5
Q78JT3,Haao
Q99L13,Hibadh
Q04841,Mpg
Q60876,Eif4ebp1
P70445,Eif4ebp2
Q80VV3,Eif4ebp3
Q9EST3,Eif4enif1
P10852,Slc3a2
Q6W049,Or56b34
Q64264,Htr1a
P28334,Htr1b
Q61224,Htr1d
Q02284,Htr1f
P35363,Htr2a
Q02152,Htr2b
P34968,Htr2c
P23979,Htr3a
Q9JHJ5,Htr3b
P97288,Htr4
P30966,Htr5a
P31387,Htr5b
Q9R1C8,Htr6
P32304,Htr7
Q91VK1,Bzw2
Q9CQC6,Bzw1
A3KFX0,Nt5c1a
Q91YE9,Nt5c1b
Q9D020,Nt5c3a
Q3UFY7,Nt5c3b
Q3V1L4,Nt5c2
Q61503,Nt5e
Q9DCD0,Pgd
Q9CQ60,Pgls
P12961,Scg5
P53368,Nudt1
Q3UKZ7,Arl14epl
Q571I9,Aldh16a1
Q8C0J2,Atg16l1
Q6KAU8,Atg16l2
Q60590,Orm1
P07361,Orm2
Q63805,Orm3
P07758,Serpina1a
P22599,Serpina1b
Q00896,Serpina1c
Q00897,Serpina1d
Q00898,Serpina1e
Q9DCQ7,Serpina1f
Q19LI2,A1bg
Q5YD48,A1cf
Q61247,Serpinf2
Q6GQT1,A2m
Q3V1N9,A3galt2
Q67BJ4,A4galt
Q14BT6,A4gnt
P12023,App
Q3UD01,Atxn7l3b
Q60612,Adora1
Q60613,Adora2a
Q60614,Adora2b
Q61618,Adora3
P63115,Slc7a10
Q99PG0,Aadac
P58742,Aaas
P51912,Slc1a5
Q9D2R0,Aacs
Q9WVM8,Aadat
Q8R2R3,Aagab
Q3UHJ0,Aak1
Q9R078,Prkab1
Q6PAM0,Prkab2
O54950,Prkag1
Q91WG5,Prkag2
Q8BGM7,Prkag3
Q8R0P4,Aamdc
Q5EG47,Prkaa1
Q8BRK8,Prkaa2
Q9D2V5,Aar2
Q811W1,Aard
Q3THG9,Aarsd1
Q99K67,Aass
Q7TSV6,Got1l1
P05201,Got1
Q9JKX4,Aatf
P05202,Got2
Q99JW1,Abhd17a
Q7M759,Abhd17b
Q8VCV1,Abhd17c
Q8R5A3,Apbb1ip
Q8K442,Abca8a
Q8K440,Abca8b
P41233,Abca1
P41234,Abca2
Q8R420,Abca3
O35600,Abca4
Q8K448,Abca5
Q8K441,Abca6
Q91V24,Abca7
Q8K449,Abca9
E9Q876,Abca12
Q5SSE9,Abca13
E9PX95,Abca17
B5X0E4,Abcb5
Q9DC29,Abcb6
Q61102,Abcb7
Q9JJ59,Abcb9
Q9JI39,Abcb10
Q9QY30,Abcb11
P70170,Abcc9
P48410,Abcd1
Q61285,Abcd2
P55096,Abcd3
O89016,Abcd4
P61222,Abce1
Q6P542,Abcf1
Q99LE6,Abcf2
Q8K268,Abcf3
Q64343,Abcg1
Q7TMS5,Abcg2
Q99P81,Abcg3
Q91WA9,Abcg4
Q99PE8,Abcg5
Q9DBM0,Abcg8
Q99LR1,Abhd12
Q8C1A9,Abhd18
P51908,Apobec1
Q9WV35,Apobec2
Q99J72,Apobec3
Q497M3,Apobec4
Q5F2F2,Abhd15
Q9QZC8,Abhd1
Q9QXM0,Abhd2
Q91ZH7,Abhd3
Q8VD66,Abhd4
Q9DBL9,Abhd5
Q8R2Y0,Abhd6
Q8R0P8,Abhd8
Q6PE15,Abhd10
Q8K4F5,Abhd11
Q80UX8,Abhd13
Q922Q6,Abhd14a
Q8VCR7,Abhd14b
Q9Z1Q2,Abhd16a
Q80YU0,Abhd16b
Q8CBW3,Abi1
P62484,Abi2
Q8BYZ1,Abi3
Q80ZQ9,Abitram
P00520,Abl1
Q4JIM5,Abl2
Q8K4G5,Ablim1
Q8BL65,Ablim2
Q69ZX8,Ablim3
Q4KML4,Abracl
Q8BUZ1,Abra
Q8BPZ8,Abraxas1
Q3TCJ1,Abraxas2
Q5SSL4,Abr
Q9QYL7,Abt1
Q99LJ2,Abtb1
Q7TQI7,Abtb2
Q6GQW0,Abtb3
Q5SWU9,Acaca
